"","Epoch","Iteration","cp","gpUtility","acqOptimum","inBounds","Elapsed","Score","train.lkh","errorMessage"
"28",0,28,2.2221390151297e-06,NA,FALSE,TRUE,4.808,-0.987560393663289,0.984219393287529,NA
"29",0,29,4.60014373035637e-05,NA,FALSE,TRUE,3.918,-0.988156995155053,0.985791926423284,NA
"30",0,30,4.9401917244553e-06,NA,FALSE,TRUE,4.916,-0.987560393663289,0.984219393287529,NA
"31",0,31,6.66154561708199e-06,NA,FALSE,TRUE,4.145,-0.987560393663289,0.984219393287529,NA
"32",0,32,8.02340850607228e-06,NA,FALSE,TRUE,4.252,-0.987560393663289,0.984219393287529,NA
"33",0,33,1.19925993967041e-05,NA,FALSE,TRUE,4.495,-0.987560393663289,0.984219393287529,NA
"34",0,34,1.27768864551707e-05,NA,FALSE,TRUE,4.074,-0.987560393663289,0.984219393287529,NA
"35",0,35,4.53548766238727e-05,NA,FALSE,TRUE,3.844,-0.988156995155053,0.985791926423284,NA
"36",0,36,4.23158416246326e-05,NA,FALSE,TRUE,3.912,-0.987441727206646,0.986049977747405,NA
"37",0,37,1.54776156752061e-05,NA,FALSE,TRUE,4.038,-0.987560393663289,0.984219393287529,NA
"38",0,38,1.64145014257468e-05,NA,FALSE,TRUE,3.792,-0.987608013062533,0.984235587437316,NA
"39",0,39,4.11806820118181e-05,NA,FALSE,TRUE,3.886,-0.987441727206646,0.986049977747405,NA
"40",0,40,3.96451785587158e-05,NA,FALSE,TRUE,4.412,-0.987910460795565,0.985439731479601,NA
"41",0,41,3.78092255974497e-05,NA,FALSE,TRUE,5.106,-0.987895098141167,0.985255698715506,NA
"42",0,42,1.98751758275106e-05,NA,FALSE,TRUE,4.499,-0.987613164549951,0.984650630711022,NA
"43",0,43,2.1100476601304e-05,NA,FALSE,TRUE,4.59,-0.987613164549951,0.984650630711022,NA
"44",0,44,3.54500898963895e-05,NA,FALSE,TRUE,3.524,-0.987284408748739,0.985183653919488,NA
"45",0,45,2.35789795822131e-05,NA,FALSE,TRUE,4.178,-0.98703344572037,0.984650630711022,NA
"46",0,46,2.50789764434188e-05,NA,FALSE,TRUE,4.767,-0.987613164549951,0.984650630711022,NA
"47",0,47,2.68123169798601e-05,NA,FALSE,TRUE,3.827,-0.987630552623569,0.98470429258478,NA
"48",0,48,3.31769192428713e-05,NA,FALSE,TRUE,3.813,-0.987808563015586,0.985047202239232,NA
"49",0,49,3.07414552940967e-05,NA,FALSE,TRUE,3.632,-0.987698522609275,0.984848655869806,NA
"50",0,50,2.96315420541164e-05,NA,FALSE,TRUE,4.214,-0.987134570751512,0.984818605383637,NA
"51",1,51,2.85276292468326e-05,0.225600286527741,TRUE,TRUE,2.88,-0.98748751536361,0.984848655869806,NA
"52",1,52,2.77112842037483e-05,0.0748929476553444,FALSE,TRUE,3.459,-0.987454953022186,0.984731934763136,NA
"53",1,53,2.10825943553113e-05,-0.306411062693087,FALSE,TRUE,3.386,-0.987425537679957,0.984463464696524,NA
"54",1,54,2.36103213463667e-05,0.00667592871916134,FALSE,TRUE,2.619,-0.987431489199234,0.984650630711022,NA
"55",1,55,3.04562827077698e-05,-0.214831612687956,FALSE,TRUE,2.511,-0.987807610871812,0.984848655869806,NA
"56",1,56,2.80949986033182e-05,0.181291952458823,FALSE,TRUE,3.332,-0.987737016904627,0.984731934763136,NA
