"","num_layers","optim","activation","lr","xi","eps","tie","batch_size","early_stopping","patience","node_1","node_2","node_3","node_4","node_5","node_6","node_7","node_8","node_9","node_10","train.lkh","test.lkh","time"
"45",10,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,NA,NA,92.1485597531001
"46",2,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.47420168462723,3.5833062171936,83.6642674485842
"47",6,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.51552718035691,3.61117558479309,64.649691538016
"48",10,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.51553273993033,3.61117563247681,53.633075940609
"49",2,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.47416938360809,3.58537788391113,53.0272709647814
"50",6,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.51552415236849,3.6111750125885,99.2851166725159
"51",10,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.51547595633454,3.61117587089539,70.1219522198041
"52",2,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.4741795183087,3.58456501960754,53.1255061308543
"53",6,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.47439502522737,3.58348531723022,95.3020228346189
"54",10,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.47422038804139,3.58378162384033,509.828752362728
"55",2,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.47553087247595,3.58479108810425,110.770262225469
"56",6,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.47557388220796,3.58224682807922,164.998116489251
"57",10,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.48335803253323,3.58799357414246,146.064922583103
"58",2,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.47556479075437,3.58603324890137,115.77065256834
"59",6,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.47636061018012,3.58642311096191,112.036981105804
"60",10,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.47792249352736,3.58457365036011,94.5787499984105
