"","num_layers","optim","activation","lr","xi","eps","tie","batch_size","early_stopping","patience","node_1","node_2","node_3","node_4","train.lkh","test.lkh"
"105",4,"SGD","LeakyReLU",0.2,0,0.2,"Efron",1000,"TRUE",20,2,2,2,2,5.70107342546636,7.09362689971924
"106",2,"SGD","LeakyReLU",0.2,0,0.2,"Efron",1000,"TRUE",20,10,10,NA,NA,5.67483711242676,6.12850656509399
"107",3,"SGD","LeakyReLU",0.2,0,0.2,"Efron",1000,"TRUE",20,10,10,10,NA,5.70132402073253,7.09324913024902
"108",4,"SGD","LeakyReLU",0.2,0,0.2,"Efron",1000,"TRUE",20,10,10,10,10,5.67307777404785,6.12915916442871
"109",2,"Adam","LeakyReLU",0.01,0.2,0.2,"Efron",1000,"TRUE",20,2,2,NA,NA,5.70075954523953,7.13674207687378
"110",3,"Adam","LeakyReLU",0.01,0.2,0.2,"Efron",1000,"TRUE",20,2,2,2,NA,5.67265090942383,6.12871398925781
"111",4,"Adam","LeakyReLU",0.01,0.2,0.2,"Efron",1000,"TRUE",20,2,2,2,2,5.71184371167963,7.12082054138184
"112",2,"Adam","LeakyReLU",0.01,0.2,0.2,"Efron",1000,"TRUE",20,10,10,NA,NA,5.67839069366455,6.12515888214111
"113",3,"Adam","LeakyReLU",0.01,0.2,0.2,"Efron",1000,"TRUE",20,10,10,10,NA,5.74341047026894,7.14555414199829
"114",4,"Adam","LeakyReLU",0.01,0.2,0.2,"Efron",1000,"TRUE",20,10,10,10,10,5.6906138420105,6.1292592048645
"115",2,"SGD","LeakyReLU",0.01,0.2,0.2,"Efron",1000,"TRUE",20,2,2,NA,NA,5.70101098580794,7.09487211227417
"116",3,"SGD","LeakyReLU",0.01,0.2,0.2,"Efron",1000,"TRUE",20,2,2,2,NA,5.67270917892456,6.12241954803467
"117",4,"SGD","LeakyReLU",0.01,0.2,0.2,"Efron",1000,"TRUE",20,2,2,2,2,5.70112940181385,7.09442449569702
"118",2,"SGD","LeakyReLU",0.01,0.2,0.2,"Efron",1000,"TRUE",20,10,10,NA,NA,5.67267417907715,6.12192602157593
"119",3,"SGD","LeakyReLU",0.01,0.2,0.2,"Efron",1000,"TRUE",20,10,10,10,NA,5.70087662176652,7.12129625320435
"120",4,"SGD","LeakyReLU",0.01,0.2,0.2,"Efron",1000,"TRUE",20,10,10,10,10,5.67273721694946,6.12391815185547
"121",2,"Adam","LeakyReLU",0.05,0.2,0.2,"Efron",1000,"TRUE",20,2,2,NA,NA,5.70120785886591,7.09354963302612
"122",3,"Adam","LeakyReLU",0.05,0.2,0.2,"Efron",1000,"TRUE",20,2,2,2,NA,5.67651853561401,6.12877569198608
