are_tot,are_cal_q,are_cal_y,scenario,seed
0.277197765951104,0.240994579352877,0.173085037053389,2,19
0.30180464261815,0.235669004685314,0.0255148903345941,3,19
0.126853341189731,0.123946472030939,0.022102385134161,4,19
0.110168349214121,0.108083440980732,0.0271190785898156,0,2
0.166576609010636,0.161347712512056,0.0801603733996228,1,2
0.279519192712902,0.243962456518221,0.156583299159855,2,2
0.341515534792987,0.258851872407301,0.0528125292393544,3,2
0.123533617260075,0.122373607505034,0.0544799960852442,4,2
0.122773392432352,0.122971547734484,0.0406751632001356,0,20
0.21902914326368,0.201395381091425,0.111721475574921,1,20
0.280960011412451,0.256172273466621,0.21258795140508,2,20
0.296971917970796,0.225542330992129,0.0234015520632878,3,20
0.120072413587322,0.119441314472459,0.0400893985505161,4,20
0.127610960800219,0.123318127070783,0.0315471145753569,0,3
0.18794217801289,0.174941709021429,0.0912136400574844,1,3
0.204124337061522,0.190498261982957,0.134121971573209,2,3
0.26557084032817,0.216198705437358,0.0354410643156011,3,3
0.131152332618836,0.113284618183333,0.0244309604082027,4,3
0.130817942046544,0.127920464580434,0.0352217200270598,0,4
0.196101343723096,0.188139967954098,0.125729332045712,1,4
0.284670648380586,0.236789442085059,0.218094705023364,2,4
0.36130812898237,0.268972159129491,0.0379572094209397,3,4
0.118112073116478,0.118638337007337,0.0382589621380846,4,4
0.133597975996531,0.131646961526704,0.0293872136696335,0,5
0.2019127824101,0.18897760940936,0.139253060344384,1,5
0.285293771703174,0.246617884106559,0.217859596710151,2,5
0.282744783326507,0.21362963977765,0.0309419420687464,3,5
0.115772124640609,0.110582490256894,0.0178279892448165,4,5
0.105581644165754,0.103897380225957,0.0327182849181412,0,6
0.229054848153519,0.202769943891261,0.157813889802747,1,6
0.321152149586107,0.275147330256004,0.258447308310751,2,6
0.320779904559563,0.245842387079348,0.0487741164243582,3,6
0.0997484580108406,0.0997293578280924,0.0304896604880571,4,6
0.114824567197564,0.111459246650826,0.0438019043678598,0,7
0.205054715715986,0.193648109822114,0.0985405170302486,1,7
0.217798402792713,0.193812506490374,0.159683308719296,2,7
0.290046133912397,0.228679178298053,0.0393557410245237,3,7
0.117777735721437,0.107514605416082,0.0307560396530079,4,7
0.14006102611274,0.137573234459262,0.0258864517161764,0,8
0.231805757778699,0.203556393472386,0.137349125335916,1,8
0.228629782883316,0.206608500135864,0.179925469614154,2,8
0.275447329346529,0.20689063735536,0.0296145636785865,3,8
0.116575020844355,0.109653442362931,0.0325637246843079,4,8
0.10532389717917,0.101943370687884,0.0252376223736154,0,9
0.176578034519403,0.167526795085136,0.0835826635719529,1,9
0.198825463554442,0.18324697974292,0.164624728294178,2,9
0.272216360264017,0.215615120428607,0.0437322847911315,3,9
0.101863122436988,0.101164729897452,0.048710423809713,4,9
