"","Epoch","Iteration","num_layers","num_nodes","optim","activation","lr","xi","eps","batch_size","gpUtility","acqOptimum","inBounds","Elapsed","Score","train.lkh","errorMessage"
"26",0,26,6,4,2,1,0.323093403833266,0.367141615971923,0.431510075412225,4086,NA,FALSE,TRUE,6797.921,-9.91903171539307,10.0280750934894,NA
"27",0,27,7,9,2,2,0.454116790319351,0.164026651280001,0.0694706358900294,3533,NA,FALSE,TRUE,8613.61,-7.63137130737305,7.724494860967,NA
"28",0,28,7,3,2,2,0.154143795060879,0.451362671402749,0.0434750501671806,2426,NA,FALSE,TRUE,6287.78,-6.76261930465698,6.78299956210824,NA
"29",0,29,3,5,2,1,0.04287043115946,0.224167711390182,0.28017150046071,3648,NA,FALSE,TRUE,8439.417,-7.04693126678467,7.37744463558855,NA
"30",0,30,5,7,2,1,0.497899838581169,0.0232333188760094,0.121216975590214,2656,NA,FALSE,TRUE,5570.411,-8.35171127319336,8.3566448877408,NA
"31",0,31,6,8,2,2,0.428680120602087,0.303589010501746,0.0906910171918571,1614,NA,FALSE,TRUE,3508.692,-6.81367158889771,6.8631394678125,NA
"32",0,32,4,2,1,1,0.217980450614891,0.214907895880751,0.344673055282328,497,NA,FALSE,TRUE,4805.338,-5.74456539154053,5.80465965944263,NA
"33",0,33,10,9,1,1,0.0138283909508493,0.0325279659847729,0.196527302220929,1838,NA,FALSE,TRUE,6172.576,-6.72028818130493,6.81383036730582,NA
"34",0,34,3,9,1,1,0.346436546313972,0.15155830627773,0.301954396842048,4210,NA,FALSE,TRUE,8609.981,-11.8438621520996,12.8486297454834,NA
"35",0,35,4,6,2,1,0.474416577666649,0.266804968221113,0.279110787794925,3493,NA,FALSE,TRUE,8580.028,-10.2538265228271,10.3432685089111,NA
"36",0,36,3,8,1,2,0.281214575825445,0.297873363604303,0.231334483900573,255,NA,FALSE,TRUE,8251.075,-7.06913366317749,6.94555295201284,NA
"37",0,37,6,5,2,2,0.392322015274805,0.471317888824269,0.457199705077801,2250,NA,FALSE,TRUE,5299.918,-10.457322883606,10.4856643239179,NA
"38",0,38,4,4,2,2,0.23780776797703,0.359466683142818,0.0592342754057609,2982,NA,FALSE,TRUE,5040.098,-6.98732995986938,7.01305615833827,NA
