"","num_layers","optim","activation","lr","xi","eps","tie","batch_size","early_stopping","patience","node_1","node_2","node_3","node_4","node_5","node_6","node_7","node_8","node_9","node_10","train.lkh","test.lkh","time"
"77",6,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,33.3358049114545
"78",10,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,NA,NA,33.7887519081434
"79",2,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44231168453679,3.57469534873962,39.3173902710279
"80",6,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,22.8544847289721
"81",10,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,NA,NA,25.561688820521
"82",2,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44137235850728,3.57507486343384,27.6668974955877
"83",6,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.48261394374133,3.60656409263611,27.1898928403854
"84",10,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.48265985036539,3.60656423568726,20.7602167725563
"85",2,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44128089592465,3.57509074211121,25.6933453202248
"86",6,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.48281870795015,3.60656323432922,30.0561906139056
"87",10,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.4826862571453,3.60656399726868,127.713334902128
"88",2,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44145794713477,3.57524495124817,51.3256268064181
"89",6,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.44133158414442,3.5740834236145,86.0032837629318
"90",10,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.44107162497866,3.57353081703186,282.430868772666
"91",2,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.268182241917
"92",6,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,61.5771368900935
"93",10,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,NA,NA,63.1555150151253
"94",2,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.7984570662181
"95",6,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,65.8848268548648
"96",10,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,NA,NA,74.5668857375781
"97",2,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44421178140225,3.58434810638428,72.3256470998128
"98",6,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,79.3345225334167
"99",10,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,NA,NA,75.9370490193367
"100",2,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44143156471333,3.57463912963867,93.6775034109751
"101",6,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.44145895649945,3.57510833740234,127.280559464296
"102",10,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.44156610420895,3.57405142784119,152.693537775675
"103",2,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44148796754297,3.57491130828857,79.1669102152189
"104",6,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.44160274271968,3.57409815788269,113.933480536938
"105",10,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.44142139823824,3.57432794570923,133.885083127022
"106",2,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44159797712687,3.57555747032166,70.1585847655932
"107",6,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.44147802244056,3.57490363121033,114.004987096786
"108",10,"SGD","SELU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.44153240144621,3.57530608177185,115.350674287478
"109",2,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44191860964963,3.57533674240112,61.771198173364
"110",6,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.44191332951211,3.57511110305786,88.766618847847
"111",10,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.44184653142793,3.57424530982971,93.7337584018707
"112",2,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44178197041152,3.57517914772034,65.1505590597788
"113",6,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.44171398593063,3.57332572937012,78.6076250910759
"114",10,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.44169157248137,3.57302055358887,88.197765703996
"115",2,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44192616349057,3.57505474090576,77.8197238127391
"116",6,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.44166632737625,3.57570714950562,65.9891955852509
"117",10,"Adam","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.44212306062748,3.57430715560913,103.961098468304
"118",2,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44136256956812,3.57369561195374,127.806873170535
"119",6,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.48268713596167,3.60656404495239,28.1936768174171
"120",10,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.48265985036539,3.60656423568726,27.8362187027931
"121",2,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44128985656149,3.5742880821228,26.8481639305751
"122",6,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.48289560987914,3.60656356811523,24.8866998434067
"123",10,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.48284663829636,3.6065643787384,21.8605695327123
"124",2,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44161820687483,3.57221598625183,21.9977047006289
"125",6,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.4412936239755,3.57266340255737,78.3426283677419
"126",10,"SGD","LeakyReLU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.48291808574305,3.60656290054321,27.2223714947701
"127",2,"Adam","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44189174856579,3.57501955032349,21.551175069809
"128",6,"Adam","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.44206181299809,3.57656965255737,20.6012388467789
"129",10,"Adam","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.44208043416827,3.57430238723755,20.117867676417
"130",2,"Adam","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44173803739563,3.57533736228943,72.3319271246592
"131",6,"Adam","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.44232711385357,3.57328858375549,78.5549124598503
"132",10,"Adam","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.44165084189811,3.57363510131836,138.714898709456
"133",2,"Adam","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44188137348353,3.57673807144165,82.5543923219045
"134",6,"Adam","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.44165548482818,3.5758376121521,118.847405338287
"135",10,"Adam","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.44222551027316,3.57476940155029,95.22878023386
"136",2,"SGD","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44123304261404,3.57471385002136,167.895883802573
"137",6,"SGD","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.44123921496644,3.57485857009888,164.871709851424
"138",10,"SGD","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.44127452120621,3.57523856163025,240.802033901215
"139",2,"SGD","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44118972898138,3.57457995414734,83.2621997714043
"140",6,"SGD","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.44116433139285,3.57552914619446,220.521617587407
"141",10,"SGD","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.44123005339702,3.57640795707703,263.568697067102
"142",2,"SGD","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44146852091897,3.57386994361877,51.5845858931541
"143",6,"SGD","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.4409691196643,3.57519540786743,162.174031241735
"144",10,"SGD","SELU",0.01,0.2,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.44113518482612,3.57495737075806,230.387767223517
"145",2,"Adam","LeakyReLU",0.05,0.2,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44267483043344,3.57643308639526,76.9522638360659
"146",6,"Adam","LeakyReLU",0.05,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.44235417423951,3.57403120994568,131.65163277785
"147",10,"Adam","LeakyReLU",0.05,0.2,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.44262812686165,3.57236995697021,121.346013315519
"148",2,"Adam","LeakyReLU",0.05,0.2,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44222569934992,3.57627401351929,67.8109891096751
